posto_id_key	pov_id_key	pov_name
PA041502	PV041502014	Emuara [Malalo]
PA041503	PV041502013	Kucune [Malalo]
PA041504	PV041502012	Rule [Malalo]
PA041505	PV041502011	Musseceia [Malalo]
PA041506	PV041502010	Mampupuine [Malalo]
PA041507	PV041502009	Micorotxe [Malalo]
PA041508	PV041502008	Eulane [Malalo]
PA041509	PV041502007	Nola [Malalo]
PA041510	PV041502006	Crupura [Malalo]
PA041511	PV041502005	Muthucunuco [Malalo]
PA041512	PV041502004	Namunhoquerene 1 [Malalo]
PA041513	PV041502003	Namunhoquerene 2 [Malalo]
PA041514	PV041502002	Marrogane 1 [Malalo]
PA041515	PV041502001	Marrogane 2 [Malalo]
