posto_id_key,pov_id_key,pov_name
PA040601,PV040601064,Acinhara [Muaziua]
PA040601,PV040601001,Ambrosio [Cuturia]
PA040601,PV040601063,Bairro 25 de setembro [Mugulama]
PA040601,PV040601062,Comone [Namanda]
PA040601,PV040601061,Elope [Mugulama]
PA040603,PV040603005,Enhumua [Nhoela]
PA040601,PV040601060,Inroenacue [Mugulama]
PA040601,PV040601059,Ligama [Mugudu]
PA040601,PV040601058,Liguangua [Muaziua]
PA040601,PV040601057,Macocue [Cuturia]
PA040601,PV040601056,Magala [Sugue]
PA040601,PV040601054,Manla [Nhoela]
PA040601,PV040601053,Mapita [Cuturia]
PA040601,PV040601052,Massira [Niboia ]
PA040601,PV040601051,Matumane [Mugulama]
PA040601,PV040601050,Mbilani [Mugulama]
PA040601,PV040601049,Meitor Sede [Meitor]
PA040601,PV040601048,Monegue [Sugue]
PA040601,PV040601046,Muatiua [Mugulama]
PA040601,PV040601045,Muaziua Sede [Muaziua]
PA040601,PV040601043,Mucade [Cuturia]
PA040601,PV040601042,Mucoe [Namanda]
PA040601,PV040601041,Mucuiua [Niboia ]
PA040601,PV040601040,Mugudo Sede [Mugudu]
PA040601,PV040601038,Mugulama Sede [Mugulama]
PA040601,PV040601037,Muhua [Sugue]
PA040601,PV040601036,Muliquela [Nhoela]
PA040601,PV040601035,Mulumassi [Meitor]
PA040601,PV040601003,Mulumassi [Munhanhua]
PA040601,PV040601033,Munhanhua Nacogolo [Munhanhua]
PA040601,PV040601034,Munhanhua Sede [Munhanhua]
PA040601,PV040601032,Muribane [Muaziua]
PA040601,PV040601031,Murruma [Mugulama]
PA040601,PV040601029,Muterela [Namanda]
PA040601,PV040601027,Nahedje [Namanda]
PA040601,PV040601024,Namalapa [Munhanhua]
PA040601,PV040601023,Namaluco [Munhanhua]
PA040601,PV040601009,Namanda [Namanda]
PA040601,PV040601021,Namicocoro [Meitor]
PA040601,PV040601020,Nanhagane [Munhanhua]
PA040601,PV040601019,Nanoa [Munhanhua]
PA040601,PV040601017,Nanuro [Muaziua]
PA040601,PV040601015,Napalaca [Namanda]
PA040601,PV040601010,Napara  [Nhoela]
PA040601,PV040601039,Napua [Mugulama]
PA040601,PV040601014,Natuto [Cuturia]
PA040601,PV040601013,Naume [Mugulama]
PA040601,PV040601012,Navagane [Mugudu]
PA040601,PV040601011,Nguipuantxe [Niboia ]
PA040601,PV040601008,Nologone [Namanda]
PA040601,PV040601007,Pareie [Mugulama]
PA040601,PV040601006,Pevere [Cuturia]
PA040601,PV040601005,Simoco [Namanda]
PA040601,PV040601004,Sugue Sede [Sugue]
PA040601,PV040601002,Tchivitchivi [Cuturia]
