posto_id_key,pov_id_key,pov_name
PA041501,PV041501014,Emuara [Malalo]
PA041501,PV041501013,Kucune [Malalo]
PA041501,PV041501012,Rule [Malalo]
PA041501,PV041501011,Musseceia [Malalo]
PA041501,PV041501010,Mampupuine [Malalo]
PA041501,PV041501009,Micorotxe [Malalo]
PA041501,PV041501008,Eulane [Malalo]
PA041501,PV041501007,Nola [Malalo]
PA041501,PV041501006,Crupura [Malalo]
PA041501,PV041501005,Muthucunuco [Malalo]
PA041501,PV041501004,Namunhoquerene 1 [Malalo]
PA041501,PV041501003,Namunhoquerene 2 [Malalo]
PA041501,PV041501002,Marrogane 1 [Malalo]
PA041501,PV041501001,Marrogane 2 [Malalo]
